case_id,case_outcome,case_title,case_text
Case6508,cited,St Lukes Health Insurance v Medical Benefits Funds of Australia [1995] FCA 1314,"corrective advertising sought by the ACCC is said to match the placement of the advertising in the sale catalogue giving rise to the contraventions. In my view, there is no real purpose in making such an order in the present circumstances. The injunctive order will prevent the form of advertising which gave rise to the contraventions. There is no evidence of any consumer having suffered loss as a result of the contravening conduct. There was a significant period after the sale catalogue was published before these proceedings were instituted, and a further period has since elapsed. In those circumstances, it is difficult to see how the proposed corrective advertising would serve any useful purpose: see Hospitals Contribution Fund of Australia Ltd v Switzerland Australia Health Fund Pty Ltd (1987) 78 ALR 483 ; St Lukes Health Insurance v Medical Benefits Funds of Australia [1995] FCA 1314 per Northrop J at [34]; Wizard Mortgage per Merkel J at [27]; Signature [2002] FCA 3."
Case6509,referred to,Australian Competition and Consumer Commission v Telstra Corporation Limited [2004] FCA 1132,"have not overlooked that, in Australian Competition and Consumer Commission v Telstra Corporation Limited [2004] FCA 1132 , Gyles J granted an injunctive order for five years. His Honour discussed that question at [5]. In my view, however, the period of three years, acting as a reinforcement in the manner I have described, is appropriate to enable the advertising practices of Harris Scarfe to have been cemented so as to thereafter carry little or no risk of like contravening conduct. The orders for corrective advertising and refinement of Harris Scarfe's compliance program are founded upon s 86C of the TP Act. It relevantly provides: (1) The Court may, on application by the Commission, make one or more of the orders mentioned in subsection (2) in relation to a person who has engaged in contravening conduct. (2) The orders that the Court may make in relation to the person are: (a) ... (b) a probation order for a period of no longer than 3 years; and (c) ... (d) an order requiring the person to publish, at the person's expense and in the way specified in the order, an advertisement in the terms specified in, or determined in accordance with, the order. (3) ... (4) In this section: ""Probation order"" , in relation to a person who has engaged in contravening conduct, means an order that is made by the Court for the purpose of ensuring that the person does not engage in the contravening conduct, similar conduct or related conduct during the period of the order, and includes: (a) an order directing the person to establish a compliance program for employees or other persons involved in the person's business, being a program designed to ensure their awareness of the responsibilities and obligations in relation to the contravening, similar conduct or related conduct; and (b) an order directing the person to establish an education and training program for employees or other persons involved in the person's business, being a program designed to ensure their awareness of the responsibilities and obligations in relation to the contravening conduct, similar conduct or related conduct; and (c) an order directing the person to revise the internal operations of the person's business which lead to the person engaging in the contravening conduct."
Case6511,cited,Australian Competition and Consumer Commission v Prouds Jewellers Pty Ltd (No 2) [2008] FCA 476,"principles were applied by Moore J in Australian Competition and Consumer Commission v Prouds Jewellers Pty Ltd (No 2) [2008] FCA 476. In the light of the injunctive order proposed to be made, and in the particular circumstances, I do not think any of those three purposes would usefully be served now by corrective advertising. The public interest is adequately protected by the injunctive order, in effect reinforcing the voluntary action taken by Harris Scarfe. The absence of any identified consumer who suffered loss as a result of the contravening conduct makes it quite unlikely now that corrective advertising would alert any particular consumer to the possibility of a remedy. And I have already indicated the injunctive order itself is to aid in preventing a repetition of the contravening conduct."
Case6517,considered,Australian Competition and Consumer Commission v Dermologica Pty Ltd (2005) 215 ALR 482,"The contravening conduct is in connection with premium skin care products. Approximately three quarters of the Jurlique Products sold in Australia by value of retail sales are skin care products. The remaining quarter of Jurlique Products sales by retail value relate to hair care, essential oils, and tincture products. Skin care products were the subject of the decision Australian Competition and Consumer Commission v Dermologica Pty Ltd (2005) 215 ALR 482 (' Dermologica '), and it is right to note that the Commission considers the objective of general deterrence to be of particular importance in relation to the skin care product industry. 55 However, it is also relevant to note that Jurlique Products comprise a small proportion of total skin care product sales in Australia, but their share of premium skin care products is larger. 56 The majority of the contraventions by the Jurlique Companies involve specialist retailers, including the company outlets, franchise outlets, and the Jin Hsing Company. The contravening conduct concerning price lists also involves pharmacies and salons. 99 It is relevant in this context to refer to Dermologica . The report indicates that Dermologica, in the financial year 2001/2002, had sales of nearly $15 million and profit before income tax in the order of $1.2 million. In the present case, in the 2003/2004 financial year, the Jurlique Companies' revenue was four times larger than Dermologica's income in 2001/2002, and the Jurlique Companies' profit before tax was considerably higher than Dermologica's. 100 As to the degree of market power of the Jurlique companies, I have already referred to the lack of market power of Jurlique in the market of premium skin care products. The joint submissions of the parties acknowledge at par 119: 'Jurlique is not alleged to have market power against its competitors. Jurlique's share of sales is low in the skin care product industry however Jurlique Products are highly differentiated and offers one of only a few ranges of products claiming to have natural ingredients and to be made in Australia. Customers' perception of a brand's image, which is expensive to create and maintain through advertising and marketing, differentiates Jurlique Products from many competitors' products. Accordingly, some customers are willing to pay more for particular skin care products based on their perception of image.' 101 However, it is also relevant to note the submission at par 120 that: 'The Jurlique Companies engaged in resale price maintenance conduct against Jurlique Franchisees in circumstances where the threat to remove stock from their stores would have destroyed their investment in a franchise store. Because Jurlique Franchisees made a substantial investment in each franchise store, Jurlique Companies had significant power in respect of its Jurlique Franchisees.'"
Case6540,cited,"Downes v Cottam, In re Beddoe [1893] 1 Ch 547","are exceptions to the rule that the company's assets should bear the costs. Broadly speaking, if the liquidator acts unreasonably, recklessly or even negligently and his conduct leads to the unnecessary incurring of costs, those costs ought to be paid by the liquidator: In re Beddoe; Downes v Cottam [1893] 1 Ch 547; Mead v Watson (2005) 23 ACLC 718. In deciding whether the liquidator is acting unreasonably it is necessary to have regard to s 545 of the Corporations Act . Subsection (1) provides that ""a liquidator is not liable to incur any expense in relation to the winding up of a company unless there is sufficient available property"". (There are certain exceptions in relation to lodging of documents with ASIC: see s 545(3).) The effect of the section is that, apart from lodging certain documents, a liquidator is not required to do anything if he cannot recover his expenses. It means the liquidator commits no wrong in failing to carry out any duties."
Case6542,cited,Mead v Watson (2005) 23 ACLC 718,"are exceptions to the rule that the company's assets should bear the costs. Broadly speaking, if the liquidator acts unreasonably, recklessly or even negligently and his conduct leads to the unnecessary incurring of costs, those costs ought to be paid by the liquidator: In re Beddoe; Downes v Cottam [1893] 1 Ch 547; Mead v Watson (2005) 23 ACLC 718. In deciding whether the liquidator is acting unreasonably it is necessary to have regard to s 545 of the Corporations Act . Subsection (1) provides that ""a liquidator is not liable to incur any expense in relation to the winding up of a company unless there is sufficient available property"". (There are certain exceptions in relation to lodging of documents with ASIC: see s 545(3).) The effect of the section is that, apart from lodging certain documents, a liquidator is not required to do anything if he cannot recover his expenses. It means the liquidator commits no wrong in failing to carry out any duties."
Case6589,cited,Global Sportsman Pty Ltd v Mirror Newspapers Ltd [1984] FCA 180 ; (1984) 2 FCR 82,"a representation is likely to mislead or deceive is an objective question of fact, to be determined in all the circumstances: Taco Bell . It is sufficient if there is a real chance that the conduct or representation will mislead or deceive: Global Sportsman Pty Ltd v Mirror Newspapers Ltd [1984] FCA 180 ; (1984) 2 FCR 82 at 87. Importantly, whether conduct is misleading or deceptive or is likely to mislead or deceive must be determined in context. In Parkdale it was said at 199: It seems clear enough that consideration must be given to the class of consumers likely to be affected by the conduct. Although it is true, as has often been said, that ordinarily a class of consumers may include the inexperienced as well as the experienced, and the gullible as well as the astute, the section must in my opinion by (sic) regarded as contemplating the effect of the conduct on reasonable members of the class. The heavy burdens which the section creates cannot have been intended to be imposed for the benefit of persons who fail to take reasonable care of their own interests. What is reasonable will or (sic) course depend on all the circumstances."
Case6590,cited,Campomar Sociedad Limitada v Nike International Ltd [2000] HCA 12 ; (2000) 202 CLR 45,"test is an objective one for the Court upon the whole of the evidence. The test is whether an ordinary or reasonable person from the class of persons to whom the representation is made is likely to be misled or deceived: Campomar Sociedad Limitada v Nike International Ltd [2000] HCA 12 ; (2000) 202 CLR 45 ( Campomar ) at 85-7. In my view, it is unlikely that a reasonable group of persons seeing those communications would think about the place of origin of those artworks. There is no express representation about their place of origin. There is no real reason why, beyond the clear representation as to the Aboriginality of the artist, the reasonable consumer would advert to their place of origin. In other words, the particular conduct which is said to give rise by implication to the representation that the place of origin of the particular artworks is Australia does not, in my judgment, give rise to that representation. Indeed, as was pointed out in Henjo Investments Pty Ltd v Collins Marrickville Pty Ltd (No 1) [1988] FCA 40 ; (1988) 39 FCR 546 at 555, s 52 is not expressed in terms of, and is not confined to, representations. The question is one of fact, namely whether the conduct complained of is likely ""to lead into error"" (per Gibbs CJ in Parkdale [1982] HCA 44 ; 149 CLR 191 at 198). Relevantly here, the question is whether the conduct, tested against ordinary and reasonable members of a section of the public, may have led into error those persons as to the place of origin of those particular artworks (as distinct from the Aboriginality of the artist). Campomar would indicate that the appropriate question is what would be the likely reaction of that section of the public to the particular conduct."
Case6594,discussed,QDSV Holdings Pty Ltd (t/as bush Friends Australia) v Trade Practices Commission [1995] FCA 1431 ; (1995) 131 ALR 493,"QDSV Holdings Pty Ltd (t/as bush Friends Australia) v Trade Practices Commission [1995] FCA 1431 ; (1995) 131 ALR 493 ( QDSV Holdings ), the appellant was a wholesaler of soft toys. One of its products was a koala soft toy, which had a label attached to it with the words ""Aussie Born"" on one side, and the words ""Made in Australia"" on the other side, with smaller words ""With Some Imported Components"" beneath those words. The soft toys were designed in Australia, the components were manufactured in China, except for about 30% of the filling, and all the components were then imported into Australia, for assembly within Australia. The primary judge declared the labels were in breach of ss 52 and 53(eb) of the TP Act and made an order under s 80 of the TP Act. The Full Court dismissed an appeal from those orders and held that the labels were misleading and deceptive, although that the toys could fairly be described as having been designed and finished in Australia. Sackville J observed at 500: While it should not be assumed that purchasers are ""extraordinarily stupid"" ... neither should it be assumed that purchasers of products such as toy koalas will be scrupulous to analyse the nuances of the language the trader has chosen to use on labels attached to the merchandise ... The meaning conveyed by the labels will be assessed by construing the language employed, but will take account of such factors as the prominence given to particular slogans or phrases, the nature of the product itself and the expectations and likely understanding of consumers."
Case6595,cited,Australian Competition and Consumer Commission v Lovelock Luke Pty Ltd (1997) 79 FCR 63,"is no express representation that any of the carved wooden items were made in Australia. That has been the context in which a number of actions under s 53(eb) have been decided: see Australian Competition and Consumer Commission v Lovelock Luke Pty Ltd (1997) 79 FCR 63 ; Siddons Pty Ltd v Stanley Works Pty Ltd (1990) ATPR 41-044 ; QDSV Holdings ; Netcomm (Australia) Pty Ltd v Dataplex Pty Ltd (1988) 81 ALR 101. The representation is said to arise by implication from the way in which the carved wooden items were promoted on the Website, and by the way in which the carved wooden bird was promoted on eBay."
Case6596,cited,Siddons Pty Ltd v Stanley Works Pty Ltd (1990) ATPR 41-044,"is no express representation that any of the carved wooden items were made in Australia. That has been the context in which a number of actions under s 53(eb) have been decided: see Australian Competition and Consumer Commission v Lovelock Luke Pty Ltd (1997) 79 FCR 63 ; Siddons Pty Ltd v Stanley Works Pty Ltd (1990) ATPR 41-044 ; QDSV Holdings ; Netcomm (Australia) Pty Ltd v Dataplex Pty Ltd (1988) 81 ALR 101. The representation is said to arise by implication from the way in which the carved wooden items were promoted on the Website, and by the way in which the carved wooden bird was promoted on eBay."
Case6597,discussed,Trade Practices Commission v QDSV Holdings Pty Ltd [1995] FCA 1431 ; (1997) 59 FCR 301,"QDSV Holdings Pty Ltd (t/as bush Friends Australia) v Trade Practices Commission [1995] FCA 1431 ; (1995) 131 ALR 493 ( QDSV Holdings ), the appellant was a wholesaler of soft toys. One of its products was a koala soft toy, which had a label attached to it with the words ""Aussie Born"" on one side, and the words ""Made in Australia"" on the other side, with smaller words ""With Some Imported Components"" beneath those words. The soft toys were designed in Australia, the components were manufactured in China, except for about 30% of the filling, and all the components were then imported into Australia, for assembly within Australia. The primary judge declared the labels were in breach of ss 52 and 53(eb) of the TP Act and made an order under s 80 of the TP Act. The Full Court dismissed an appeal from those orders and held that the labels were misleading and deceptive, although that the toys could fairly be described as having been designed and finished in Australia. Sackville J observed at 500: While it should not be assumed that purchasers are ""extraordinarily stupid"" ... neither should it be assumed that purchasers of products such as toy koalas will be scrupulous to analyse the nuances of the language the trader has chosen to use on labels attached to the merchandise ... The meaning conveyed by the labels will be assessed by construing the language employed, but will take account of such factors as the prominence given to particular slogans or phrases, the nature of the product itself and the expectations and likely understanding of consumers."
Case6598,cited,Netcomm (Australia) Pty Ltd v Dataplex Pty Ltd (1988) 81 ALR 101,"is no express representation that any of the carved wooden items were made in Australia. That has been the context in which a number of actions under s 53(eb) have been decided: see Australian Competition and Consumer Commission v Lovelock Luke Pty Ltd (1997) 79 FCR 63 ; Siddons Pty Ltd v Stanley Works Pty Ltd (1990) ATPR 41-044 ; QDSV Holdings ; Netcomm (Australia) Pty Ltd v Dataplex Pty Ltd (1988) 81 ALR 101. The representation is said to arise by implication from the way in which the carved wooden items were promoted on the Website, and by the way in which the carved wooden bird was promoted on eBay."
Case6599,cited,Henjo Investments Pty Ltd v Collins Marrickville Pty Ltd (No 1) [1988] FCA 40 ; (1988) 39 FCR 546,"my view, it is unlikely that a reasonable group of persons seeing those communications would think about the place of origin of those artworks. There is no express representation about their place of origin. There is no real reason why, beyond the clear representation as to the Aboriginality of the artist, the reasonable consumer would advert to their place of origin. In other words, the particular conduct which is said to give rise by implication to the representation that the place of origin of the particular artworks is Australia does not, in my judgment, give rise to that representation. Indeed, as was pointed out in Henjo Investments Pty Ltd v Collins Marrickville Pty Ltd (No 1) [1988] FCA 40 ; (1988) 39 FCR 546 at 555, s 52 is not expressed in terms of, and is not confined to, representations. The question is one of fact, namely whether the conduct complained of is likely ""to lead into error"" (per Gibbs CJ in Parkdale [1982] HCA 44 ; 149 CLR 191 at 198). Relevantly here, the question is whether the conduct, tested against ordinary and reasonable members of a section of the public, may have led into error those persons as to the place of origin of those particular artworks (as distinct from the Aboriginality of the artist). Campomar would indicate that the appropriate question is what would be the likely reaction of that section of the public to the particular conduct."
Case6605,followed,Chase Manhattan Bank Australia Ltd v Oscty Pty Ltd (1995) 17 ACSR 128,"While an offsetting claim does not have to be for a liquidated amount ( Classic Ceramic Importers 13 ACSR 263), ""only a claim which is capable of being quantified as an amount of money can qualify as an 'offsetting claim'""; Chase Manhattan Bank Australia Ltd v Oscty Pty Ltd (1995) 17 ACSR 128, at 135."
Case6624,followed,Topfelt Pty Limited v State Bank of New South Wales Limited (1993) 47 FCR 226,"As noted above, I consider that Dr Chisholm's first affidavit satisfies the requirements of s 459G(3)(a). Accordingly, it is entirely legitimate to supplement it with Dr Chisholm's second affidavit; Topfelt Pty Limited v State Bank of New South Wales Limited (1993) 47 FCR 226 at 242. In these two affidavits, and Dr Chisholm's oral testimony, the plaintiff adduces evidence relating to each of these components. It is convenient to address some of these components together."
Case6708,referred to,AWA Ltd v Daniels t/as Deloitte Haskins &amp; Sells (1992) 7 ACSR 759,"accept ASIC's submission that a chief executive officer or managing director may reasonably be expected to have more information available to him or her and to be more diligent than other board members. The title, Managing Director, is synonymous with Chief Executive Officer. This matter of principle may be discerned from a number of authorities. A managing director has a particular responsibility to make sure the other directors understand the potential harm in a proposed transaction: Permanent Building Society v Wheeler (1994) 11 WAR 187, at 241. A chief executive officer will be employed under a contract containing an express or implied term that he or she exercise the care and skill expected of a person in that position: AWA Ltd v Daniels t/as Deloitte Haskins &amp; Sells (1992) 7 ACSR 759 at 1014. At p 867 the Court explained that a chairman is: ...responsible to a greater extent than any other director for the performance of the board as a whole and each member of it. The chairman has the primary responsibility of selecting matters and documents to be brought to the board's attention, in formulating the policy of the Board and in promoting the position of the company."
Case6710,cited,Bateman v Slayter (1987) 71 ALR 553,"reasonable reader of the disclosures made by FMG and Forrest on FMG's behalf would have expected FMG to have a genuine and reasonable basis for making those statements: Global Sportsman v Mirror Newspapers [1984] FCA 180 ; 2 FCR 82 at 88; James v Australia and New Zealand Banking Group Ltd (1986) 64 ALR 347 at 372 per Toohey J; Wright v Wheeler Grace &amp; Pierucci Pty Ltd (1988) ATPR 40-865 at 49,375-49,376 per French J (affirmed in Wheeler Grace &amp; Pierucci Pty Ltd v Wright (1989) 16 IPR 189) ; Bateman v Slayter (1987) 71 ALR 553 at 559 per Burchett J."
Case6714,cited,Cadbury-Schweppes Pty Ltd v Pub Squash Co Pty Ltd [1980] 2 NSWLR 851,"where there is a finding of intention to deceive, the court may more readily infer that the intention has been or in all probability will be effective: Cadbury-Schweppes Pty Ltd v Pub Squash Co Pty Ltd [1980] 2 NSWLR 851 at 861; S &amp; I Publishing Pty Ltd v Australian Surf Life Saver Pty Ltd [1999] FCA 316 ; (1998) 88 FCR 354 at 362; Campomar Sociedad [2000] HCA 12 ; 202 CLR 45 at [33] and National Exchange [2004] FCAFC 90 ; 22 ACLC 609 at [63] per Jacobson and Bennett JJ."
Case6717,referred to,"Communications, Electrical, Electronic, Energy, Information, Postal, Plumbing &amp; Allied Services Union of Australia v Australian Competition and Consumer Commission [2007] FCAFC 132 ; (2007) 162 FCR 466","140(1) of the Evidence Act 1995 (Cth) (the Evidence Act ) prescribes the standard of proof in a civil proceeding as the balance of probabilities, and s 140(2) provides that the Court may take into account, in deciding whether it is so satisfied, the nature of the cause of action or defence, the nature of the subject matter of the proceeding and the gravity of the matters alleged. In Communications, Electrical, Electronic, Energy, Information, Postal, Plumbing &amp; Allied Services Union of Australia v Australian Competition and Consumer Commission [2007] FCAFC 132 ; (2007) 162 FCR 466 the Full Court noted at [31] that Dixon J's classic discussion in Briginshaw appositely expresses the considerations which s 140(2) of the Evidence Act now requires a court to take into account. In conclusion, the standard of proof that I must apply is the balance of probabilities as prescribed by s 1332, and I accept that in deciding whether ASIC's allegations are made out on the balance of probabilities I am required to take into account the causes of action and the gravity of the matters alleged and their consequences: s 140(2) Evidence Act ; Briginshaw [1938] HCA 34 ; 60 CLR 336. If inferences are to be drawn, ASIC has to establish that the circumstances appearing from the evidence give rise to a reasonable and definite inference and not merely to conflicting inferences of equal degrees of probability: Australian Securities and Investments Commission v Macdonald (No 11) [2009] NSWSC 287 ; (2009) 256 ALR 199 at [186] ; Communications, Electrical, Electronic, Energy, Information, Postal, Plumbing and Allied Services Union of Australia v Australian Competition and Consumer Commission [2007] FCAFC 132 ; 162 FCR 466 at [38] . In Communications, Electrical, Electronic, Energy, Information, Postal, Plumbing and Allied Services Union of Australia v Australian Competition and Consumer Commission [2007] FCAFC 132 ; (2007) 162 FCR 466 , the Court discussed the Adler and Rich cases and concluded at [76] that there is no reason in civil proceedings for pecuniary penalties to deny the applicability of the principles in Jones v Dunkel provided that in doing so the court proceeds in accordance with the principles in relation to s 140 of the Evidence Act , which prescribes he civil standard as the applicable standard of proof. I have discussed the standard of proof earlier."
Case6726,referred to,Glorie v WA Chip and Pulp Co Pty Ltd [1981] FCA 224 ; (1981) 55 FLR 310,"Glorie v WA Chip and Pulp Co Pty Ltd [1981] FCA 224 ; (1981) 55 FLR 310 at 328, Morling J stated: I do not think that a statement is necessarily misleading or deceptive if it cannot be demonstrated to be correct beyond any doubt. Nor is it necessarily misleading or deceptive merely if it is not accompanied by words indicating that a contrary view is held by others. If it were otherwise, public discussion and the free expression of opinions would be greatly inhibited. This would especially be the case where the statement is one of opinion or of mixed fact and opinion. When such a statement is made, the person to whom it is addressed will, in most cases, understand that there may be room for another opinion on the same matter. Where that is the case, I find it difficult to characterize the statement as being misleading or deceptive. The position would be different, of course, when a statement of opinion is made by a person who does not, in fact, hold that opinion. It might be thought that the disclosures, to the effect that FMG had executed binding build and transfer agreements with each of the Chinese Contractors, ought be characterised as statements of fact rather than opinion. Certainly, they were assertive in nature and were not expressly said to be expressions of opinion. However, I consider that they constitute mixed fact and law. As an objective matter, an assertion as to the meaning and legal effect of an agreement is necessarily the product of an opinion formulated to that effect. However the disclosures are characterised, a question as to the reasonableness of the underlying opinion and, in this case, whether or not it was honestly held, arises."
Case6733,cited,Hornsby Building Information Centre Pty Ltd v Sydney Building Information Centre Ltd [1978] HCA 11 ; (1978) 140 CLR 216,further relevant principle concerns the intention of the representor. Intention is not a necessary element of the contravention of s 52. The section involves no questions of intent upon the part of the corporation whose conduct is in question: Hornsby Building Information Centre Pty Ltd v Sydney Building Information Centre Ltd [1978] HCA 11 ; (1978) 140 CLR 216 at 228 per Stephen J; Parkdale Custom Built Furniture Proprietary Limited v Puxu Proprietary Limited [1982] HCA 44 ; (1982) 149 CLR 191 at 216 per Brennan J.
Case6735,cited,James v Australia and New Zealand Banking Group Ltd (1986) 64 ALR 347,"reasonable reader of the disclosures made by FMG and Forrest on FMG's behalf would have expected FMG to have a genuine and reasonable basis for making those statements: Global Sportsman v Mirror Newspapers [1984] FCA 180 ; 2 FCR 82 at 88; James v Australia and New Zealand Banking Group Ltd (1986) 64 ALR 347 at 372 per Toohey J; Wright v Wheeler Grace &amp; Pierucci Pty Ltd (1988) ATPR 40-865 at 49,375-49,376 per French J (affirmed in Wheeler Grace &amp; Pierucci Pty Ltd v Wright (1989) 16 IPR 189) ; Bateman v Slayter (1987) 71 ALR 553 at 559 per Burchett J."
Case6748,cited,Parkdale Custom Built Furniture Proprietary Limited v Puxu Proprietary Limited [1982] HCA 44 ; (1982) 149 CLR 191,further relevant principle concerns the intention of the representor. Intention is not a necessary element of the contravention of s 52. The section involves no questions of intent upon the part of the corporation whose conduct is in question: Hornsby Building Information Centre Pty Ltd v Sydney Building Information Centre Ltd [1978] HCA 11 ; (1978) 140 CLR 216 at 228 per Stephen J; Parkdale Custom Built Furniture Proprietary Limited v Puxu Proprietary Limited [1982] HCA 44 ; (1982) 149 CLR 191 at 216 per Brennan J.
Case6750,cited,Permanent Building Society v Wheeler (1994) 11 WAR 187,"accept ASIC's submission that a chief executive officer or managing director may reasonably be expected to have more information available to him or her and to be more diligent than other board members. The title, Managing Director, is synonymous with Chief Executive Officer. This matter of principle may be discerned from a number of authorities. A managing director has a particular responsibility to make sure the other directors understand the potential harm in a proposed transaction: Permanent Building Society v Wheeler (1994) 11 WAR 187, at 241. A chief executive officer will be employed under a contract containing an express or implied term that he or she exercise the care and skill expected of a person in that position: AWA Ltd v Daniels t/as Deloitte Haskins &amp; Sells (1992) 7 ACSR 759 at 1014. At p 867 the Court explained that a chairman is: ...responsible to a greater extent than any other director for the performance of the board as a whole and each member of it. The chairman has the primary responsibility of selecting matters and documents to be brought to the board's attention, in formulating the policy of the Board and in promoting the position of the company."
Case6758,cited,S &amp; I Publishing Pty Ltd v Australian Surf Life Saver Pty Ltd [1999] FCA 316 ; (1998) 88 FCR 354,"where there is a finding of intention to deceive, the court may more readily infer that the intention has been or in all probability will be effective: Cadbury-Schweppes Pty Ltd v Pub Squash Co Pty Ltd [1980] 2 NSWLR 851 at 861; S &amp; I Publishing Pty Ltd v Australian Surf Life Saver Pty Ltd [1999] FCA 316 ; (1998) 88 FCR 354 at 362; Campomar Sociedad [2000] HCA 12 ; 202 CLR 45 at [33] and National Exchange [2004] FCAFC 90 ; 22 ACLC 609 at [63] per Jacobson and Bennett JJ."
Case6774,cited,Wheeler Grace &amp; PierucciPty Ltd v Wright (1989) 16 IPR 189,"reasonable reader of the disclosures made by FMG and Forrest on FMG's behalf would have expected FMG to have a genuine and reasonable basis for making those statements: Global Sportsman v Mirror Newspapers [1984] FCA 180 ; 2 FCR 82 at 88; James v Australia and New Zealand Banking Group Ltd (1986) 64 ALR 347 at 372 per Toohey J; Wright v Wheeler Grace &amp; Pierucci Pty Ltd (1988) ATPR 40-865 at 49,375-49,376 per French J (affirmed in Wheeler Grace &amp; Pierucci Pty Ltd v Wright (1989) 16 IPR 189) ; Bateman v Slayter (1987) 71 ALR 553 at 559 per Burchett J."
Case6775,referred to,Wilkinson v Feldworth Financial Services Pty Ltd (1999) 17 ACLC 220,"authorities dealing with misleading and deceptive conduct under s 52 of the TPA are useful when characterising conduct for the purposes of s 1041H. As Rolfe J observed in Wilkinson v Feldworth Financial Services Pty Ltd (1999) 17 ACLC 220 at 228 in relation to s 995 of the Corporations Law: ... the engaging in conduct that is misleading or deceptive or is likely to mislead or deceive has the same meaning as, and should be treated in the same way as, those words in s 52 of the Trade Practices Act from which they have obviously been taken."
Case6777,cited,Wright v Wheeler Grace &amp; Pierucci Pty Ltd (1988) ATPR 40-865,"reasonable reader of the disclosures made by FMG and Forrest on FMG's behalf would have expected FMG to have a genuine and reasonable basis for making those statements: Global Sportsman v Mirror Newspapers [1984] FCA 180 ; 2 FCR 82 at 88; James v Australia and New Zealand Banking Group Ltd (1986) 64 ALR 347 at 372 per Toohey J; Wright v Wheeler Grace &amp; Pierucci Pty Ltd (1988) ATPR 40-865 at 49,375-49,376 per French J (affirmed in Wheeler Grace &amp; Pierucci Pty Ltd v Wright (1989) 16 IPR 189) ; Bateman v Slayter (1987) 71 ALR 553 at 559 per Burchett J."
Case6785,referred to,Stevens v Kabushiki Kaisha Sony Computer Entertainment [2005] HCA 58 ; (2005) 224 CLR 193,"In the case of a literary work, copyright is the exclusive right, amongst other things, to reproduce the work in a material form and to communicate the work to the public: see s 31(1)(a)(i) and (iv). In s 10 , the word ""communicate"" is defined as ""make available online or electronically transmit (whether over a path, or a combination of paths, provided by a material substance or otherwise) a work or other subject-matter"". Hence, in making the 800 questions and answers available on line over the Internet, RMC and Dallas Gibson communicated the works to the public. These 800 questions and answers were also reproduced in a material form when Dallas Gibson converted them from files stored on Mr Van Tran's compact disks into files stored on Dallas Gibson's laptop and ultimately converted into the practice exams files made available to students through the Icarus College learning management system: see s 21(1A). Pursuant to s 10 , as applicable at the relevant time, ""material form"", in relation to a work, included ""any form (whether visible or not) of storage from which the work ... or a substantial part of the work ... can be reproduced"". In the present case, the difficulties discussed in Stevens v Kabushiki Kaisha Sony Computer Entertainment [2005] HCA 58 ; (2005) 224 CLR 193 do not arise. 26 Section 14(1)(b) of the Copyright Act provides that, unless the contrary intention appears: [A] reference to a reproduction, adaptation or copy of a work shall be read as including a reference to a reproduction, adaptation or copy of a substantial part of the work, as the case may be. 27 In May 2004, the applicants discovered that Dallas Gibson and RMC, trading as Icarus College, were providing the 800 questions and answers in sections 1 and 2 of MedEntry's practice exams to Icarus College students over the Icarus College website. Icarus College had 45 practice exams that it provided over the Internet to students who paid for UMAT preparation courses. MedEntry's 800 questions and answers were contained in these 45 practice exams. The gist of the applicants' complaint in these proceedings was that their copyright had been infringed by the respondents' reproduction, via the Icarus College website, of the 800 questions and answers principally created by Ann Boyapati for sections 1 and 2 of MedEntry's practice exams."
Case6786,referred to,Victoria Park Racing and Recreation Grounds Co Ltd v Taylor [1937] HCA 45 ; (1937) 58 CLR 479,"In order to attract copyright protection, a literary work that is a compilation must be original. As Dixon J said in Victoria Park Racing and Recreation Grounds Co Ltd v Taylor [1937] HCA 45 ; (1937) 58 CLR 479 at 511: No doubt the expression 'literary work' includes compilation. The definition section says so ... But some original result must be produced. This does not mean that new or inventive ideas must be contributed. The work need show no literary or other skill or judgment. But it must originate with the author and be more than a copy of other material. In that case, the High Court held that copyright did not exist in information posted by the race-course proprietors inside the course as to the name and numbers of the starting and scratched horses and the numbers of the winners."
